# {'date': u'2021_nov_29_1135', 'frameRate': 99.784049809357143, 'expName': u'FTRNGT_sleep', u'session': u'training', u'participant': u'029'}
subj,trial,time,stimulus,response
029,1,0.0101570752,stimulus,
029,2,0.7601587370,stimulus,
029,3,1.5102096919,stimulus,
029,4,2.2602618738,stimulus,
029,4,2.4474570846,tap,rctrl
029,5,3.0103421188,stimulus,
029,5,3.1114381356,tap,rctrl
029,6,3.7603549806,stimulus,
029,6,4.0153940593,tap,rctrl
029,7,4.5104052167,stimulus,
029,7,4.7353985899,tap,rctrl
029,8,5.2604853294,stimulus,
029,8,5.4553991867,tap,rctrl
029,9,6.0105105761,stimulus,
029,9,6.1514065271,tap,rctrl
029,10,6.7605617626,stimulus,
029,10,6.9993748989,tap,rctrl
029,11,7.5106035355,stimulus,
029,11,7.6633926385,tap,rctrl
029,12,8.2606716543,stimulus,
029,12,8.4633475293,tap,lctrl
029,13,9.0107221219,stimulus,
029,13,9.1033514833,tap,lctrl
029,14,9.7607762377,stimulus,
029,14,9.9433112189,tap,lctrl
029,15,10.5108188648,stimulus,
029,15,10.6472920739,tap,lctrl
029,16,11.2608574829,stimulus,
029,16,11.5993462421,tap,lctrl
029,17,12.0109421459,stimulus,
029,17,12.0872971442,tap,lctrl
029,18,12.7609818527,stimulus,
029,18,12.7993253541,tap,lctrl
029,19,13.5110390933,stimulus,
029,19,13.6313292141,tap,lctrl
029,20,14.2610790076,stimulus,
029,20,14.2711986273,tap,rctrl
029,21,15.0111622180,stimulus,
029,21,15.3113333855,tap,lctrl
029,22,15.7612148300,stimulus,
029,22,16.0153409622,tap,rctrl
029,23,16.5112599203,stimulus,
029,23,16.7592621480,tap,rctrl
029,24,17.2612862076,stimulus,
029,24,17.4552715035,tap,rctrl
029,25,18.0113461850,stimulus,
029,25,18.2232861706,tap,rctrl
029,26,18.7613851459,stimulus,
029,26,18.9992632607,tap,rctrl
029,27,19.5114616706,stimulus,
029,27,19.7272491676,tap,rctrl
029,28,20.2615203608,stimulus,
029,28,20.3992655494,tap,rctrl
029,29,21.0115558631,stimulus,
029,29,21.1512435126,tap,rctrl
029,30,21.7616294555,stimulus,
029,30,21.8632104687,tap,rctrl
029,31,22.5116647894,stimulus,
029,31,22.6072325563,tap,rctrl
029,32,23.2617362735,stimulus,
029,32,23.5352214323,tap,rctrl
029,33,24.0117603383,stimulus,
029,33,24.3512201821,tap,rctrl
029,34,24.7618443246,stimulus,
029,34,24.9671949551,tap,rctrl
029,35,25.5118656105,stimulus,
029,35,25.6951669041,tap,rctrl
029,36,26.2619281412,stimulus,
029,36,26.4231571117,tap,rctrl
029,37,27.0119778239,stimulus,
029,37,27.1911863412,tap,rctrl
029,38,27.7620290014,stimulus,
029,38,27.9351821462,tap,rctrl
029,39,28.5120701488,stimulus,
029,39,28.6391471487,tap,rctrl
029,40,29.2621208480,stimulus,
029,40,29.3671441261,tap,rctrl
029,41,30.0121837397,stimulus,
029,41,30.1191526816,tap,rctrl
029,42,30.7622352389,stimulus,
029,42,30.9351081894,tap,rctrl
029,43,31.5122821969,stimulus,
029,43,31.7991078427,tap,lctrl
029,44,32.2623507426,stimulus,
029,44,32.4230953783,tap,lctrl
029,45,33.0124255741,stimulus,
029,45,33.2391356557,tap,lctrl
029,46,33.7624777019,stimulus,
029,46,34.0471000640,tap,lctrl
029,47,34.5125056915,stimulus,
029,47,34.7350770390,tap,lctrl
029,48,35.2625785921,stimulus,
029,48,35.4390807601,tap,lctrl
029,49,36.0126176734,stimulus,
029,49,36.1510699898,tap,lctrl
029,50,36.7626650554,stimulus,
029,50,36.9030408522,tap,lctrl
029,51,37.5127072795,stimulus,
029,51,37.6630455689,tap,lctrl
029,52,38.2627596268,stimulus,
029,52,38.4070685948,tap,lctrl
029,53,39.0128265275,stimulus,
029,53,39.0790351724,tap,rctrl
029,54,39.7628663847,stimulus,
029,54,39.9350339668,tap,rctrl
029,55,40.5129315590,stimulus,
029,55,40.7110407500,tap,rctrl
029,56,41.2629996597,stimulus,
029,56,41.4230191256,tap,rctrl
029,57,42.0130329395,stimulus,
029,57,42.2630079738,tap,rctrl
029,58,42.7630832147,stimulus,
029,58,42.8710045705,tap,lctrl
029,59,43.5131483439,stimulus,
029,59,43.6390298422,tap,rctrl
029,60,44.2631789380,stimulus,
029,60,44.4469718867,tap,lctrl
029,61,45.0132411801,stimulus,
029,61,45.3109979790,tap,rctrl
029,62,45.7632732749,stimulus,
029,62,46.0790160747,tap,lctrl
029,63,46.5133385154,stimulus,
029,63,46.7669565957,tap,rctrl
029,64,47.2633691426,stimulus,
029,64,47.4709304643,tap,rctrl
029,65,48.0134366237,stimulus,
029,65,48.2309615778,tap,rctrl
029,66,48.7634825350,stimulus,
029,66,49.0069475070,tap,rctrl
029,67,49.5135232343,stimulus,
029,67,49.8549217464,tap,rctrl
029,68,50.2635638854,stimulus,
029,68,50.4149337373,tap,rctrl
029,69,51.0136321966,stimulus,
029,69,51.1429220141,tap,rctrl
029,70,51.7636803305,stimulus,
029,70,51.8868932628,tap,rctrl
029,71,52.5137438176,stimulus,
029,71,52.5909136695,tap,rctrl
029,72,53.2637741290,stimulus,
029,72,53.4548822162,tap,rctrl
029,73,54.0138491169,stimulus,
029,73,54.2069078092,tap,rctrl
029,74,54.7638744147,stimulus,
029,74,54.9188989697,tap,rctrl
029,75,55.5139401124,stimulus,
029,75,55.6228978999,tap,lctrl
029,76,56.2639756598,stimulus,
029,76,56.4548854110,tap,lctrl
029,77,57.0140689153,stimulus,
029,77,57.1668409657,tap,lctrl
029,78,57.7640833620,stimulus,
029,78,57.8468415057,tap,lctrl
029,79,58.5141469244,stimulus,
029,79,58.6228399191,tap,lctrl
029,80,65.5696217597,probe1,3
029,80,74.5186232145,probe2,0
029,80,81.4139705514,probe3,3
